id,correctAnswer
102501,B
102502,B
102503,B
102504,B
102505,B
102506,B
102507,B
102508,B
102509,B
102510,B
102511,B
102512,B
102513,B
102514,B
102515,B
102516,B
102517,B
102518,B
102519,B
102520,B
102521,B
102522,B
102523,B
102524,B
102525,B
102526,B
102527,B
102528,B
102529,B
102530,B
102531,B
102532,B
102533,B
102534,B
102535,B
102536,B
102537,B
102538,B
102539,B
102540,B
102541,B
102542,B
102543,B
102544,B
102545,B
102546,B
102547,B
102548,B
102549,B
102550,B
102551,B
102552,B
102553,B
102554,B
102555,B
102556,B
102557,B
102558,B
102559,B
102560,B
102561,B
102562,B
102563,B
102564,B
102565,B
102566,B
102567,B
102568,B
102569,B
102570,B
102571,B
102572,B
102573,B
102574,B
102575,B
102576,B
102577,B
102578,B
102579,B
102580,B
102581,B
102582,B
102583,B
102584,B
102585,B
102586,B
102587,B
102588,B
102589,B
102590,B
102591,B
102592,B
102593,B
102594,B
102595,B
102596,B
102597,B
102598,B
102599,B
102600,B
102601,B
102602,B
102603,B
102604,B
102605,B
102606,B
102607,B
102608,B
102609,B
102610,B
102611,B
102612,B
102613,B
102614,B
102615,B
102616,B
102617,B
102618,B
102619,B
102620,B
102621,B
102622,B
102623,B
102624,B
102625,B
102626,B
102627,B
102628,B
102629,B
102630,B
102631,B
102632,B
102633,B
102634,B
102635,B
102636,B
102637,B
102638,B
102639,B
102640,B
102641,B
102642,B
102643,B
102644,B
102645,B
102646,B
102647,B
102648,B
102649,B
102650,B
102651,B
102652,B
102653,B
102654,B
102655,B
102656,B
102657,B
102658,B
102659,B
102660,B
102661,B
102662,B
102663,B
102664,B
102665,B
102666,B
102667,B
102668,B
102669,B
102670,B
102671,B
102672,B
102673,B
102674,B
102675,B
102676,B
102677,B
102678,B
102679,B
102680,B
102681,B
102682,B
102683,B
102684,B
102685,B
102686,B
102687,B
102688,B
102689,B
102690,B
102691,B
102692,B
102693,B
102694,B
102695,B
102696,B
102697,B
102698,B
102699,B
102700,B
102701,B
102702,B
102703,B
102704,B
102705,B
102706,B
102707,B
102708,B
102709,B
102710,B
102711,B
102712,B
102713,B
102714,B
102715,B
102716,B
102717,B
102718,B
102719,B
102720,B
102721,B
102722,B
102723,B
102724,B
102725,B
102726,B
102727,B
102728,B
102729,B
102730,B
102731,B
102732,B
102733,B
102734,B
102735,B
102736,B
102737,B
102738,B
102739,B
102740,B
102741,B
102742,B
102743,B
102744,B
102745,B
102746,B
102747,B
102748,B
102749,B
102750,B
102751,B
102752,B
102753,B
102754,B
102755,B
102756,B
102757,B
102758,B
102759,B
102760,B
102761,B
102762,B
102763,B
102764,B
102765,B
102766,B
102767,B
102768,B
102769,B
102770,B
102771,B
102772,B
102773,B
102774,B
102775,B
102776,B
102777,B
102778,B
102779,B
102780,B
102781,B
102782,B
102783,B
102784,B
102785,B
102786,B
102787,B
102788,B
102789,B
102790,B
102791,B
102792,B
102793,B
102794,B
102795,B
102796,B
102797,B
102798,B
102799,B
102800,B
102801,B
102802,B
102803,B
102804,B
102805,B
102806,B
102807,B
102808,B
102809,B
102810,B
102811,B
102812,B
102813,B
102814,B
102815,B
102816,B
102817,B
102818,B
102819,B
102820,B
102821,B
102822,B
102823,B
102824,B
102825,B
102826,B
102827,B
102828,B
102829,B
102830,B
102831,B
102832,B
102833,B
102834,B
102835,B
102836,B
102837,B
102838,B
102839,B
102840,B
102841,B
102842,B
102843,B
102844,B
102845,B
102846,B
102847,B
102848,B
102849,B
102850,B
102851,B
102852,B
102853,B
102854,B
102855,B
102856,B
102857,B
102858,B
102859,B
102860,B
102861,B
102862,B
102863,B
102864,B
102865,B
102866,B
102867,B
102868,B
102869,B
102870,B
102871,B
102872,B
102873,B
102874,B
102875,B
102876,B
102877,B
102878,B
102879,B
102880,B
102881,B
102882,B
102883,B
102884,B
102885,B
102886,B
102887,B
102888,B
102889,B
102890,B
102891,B
102892,B
102893,B
102894,B
102895,B
102896,B
102897,B
102898,B
102899,B
102900,B
102901,B
102902,B
102903,B
102904,B
102905,B
102906,B
102907,B
102908,B
102909,B
102910,B
102911,B
102912,B
102913,B
102914,B
102915,B
102916,B
102917,B
102918,B
102919,B
102920,B
102921,B
102922,B
102923,B
102924,B
102925,B
102926,B
102927,B
102928,B
102929,B
102930,B
102931,B
102932,B
102933,B
102934,B
102935,B
102936,B
102937,B
102938,B
102939,B
102940,B
102941,B
102942,B
102943,B
102944,B
102945,B
102946,B
102947,B
102948,B
102949,B
102950,B
102951,B
102952,B
102953,B
102954,B
102955,B
102956,B
102957,B
102958,B
102959,B
102960,B
102961,B
102962,B
102963,B
102964,B
