id,correctAnswer
102501,C
102502,C
102503,C
102504,C
102505,C
102506,C
102507,C
102508,C
102509,C
102510,C
102511,C
102512,C
102513,C
102514,C
102515,C
102516,C
102517,C
102518,C
102519,C
102520,C
102521,C
102522,C
102523,C
102524,C
102525,C
102526,C
102527,C
102528,C
102529,C
102530,C
102531,C
102532,C
102533,C
102534,C
102535,C
102536,C
102537,C
102538,C
102539,C
102540,C
102541,C
102542,C
102543,C
102544,C
102545,C
102546,C
102547,C
102548,C
102549,C
102550,C
102551,C
102552,C
102553,C
102554,C
102555,C
102556,C
102557,C
102558,C
102559,C
102560,C
102561,C
102562,C
102563,C
102564,C
102565,C
102566,C
102567,C
102568,C
102569,C
102570,C
102571,C
102572,C
102573,C
102574,C
102575,C
102576,C
102577,C
102578,C
102579,C
102580,C
102581,C
102582,C
102583,C
102584,C
102585,C
102586,C
102587,C
102588,C
102589,C
102590,C
102591,C
102592,C
102593,C
102594,C
102595,C
102596,C
102597,C
102598,C
102599,C
102600,C
102601,C
102602,C
102603,C
102604,C
102605,C
102606,C
102607,C
102608,C
102609,C
102610,C
102611,C
102612,C
102613,C
102614,C
102615,C
102616,C
102617,C
102618,C
102619,C
102620,C
102621,C
102622,C
102623,C
102624,C
102625,C
102626,C
102627,C
102628,C
102629,C
102630,C
102631,C
102632,C
102633,C
102634,C
102635,C
102636,C
102637,C
102638,C
102639,C
102640,C
102641,C
102642,C
102643,C
102644,C
102645,C
102646,C
102647,C
102648,C
102649,C
102650,C
102651,C
102652,C
102653,C
102654,C
102655,C
102656,C
102657,C
102658,C
102659,C
102660,C
102661,C
102662,C
102663,C
102664,C
102665,C
102666,C
102667,C
102668,C
102669,C
102670,C
102671,C
102672,C
102673,C
102674,C
102675,C
102676,C
102677,C
102678,C
102679,C
102680,C
102681,C
102682,C
102683,C
102684,C
102685,C
102686,C
102687,C
102688,C
102689,C
102690,C
102691,C
102692,C
102693,C
102694,C
102695,C
102696,C
102697,C
102698,C
102699,C
102700,C
102701,C
102702,C
102703,C
102704,C
102705,C
102706,C
102707,C
102708,C
102709,C
102710,C
102711,C
102712,C
102713,C
102714,C
102715,C
102716,C
102717,C
102718,C
102719,C
102720,C
102721,C
102722,C
102723,C
102724,C
102725,C
102726,C
102727,C
102728,C
102729,C
102730,C
102731,C
102732,C
102733,C
102734,C
102735,C
102736,C
102737,C
102738,C
102739,C
102740,C
102741,C
102742,C
102743,C
102744,C
102745,C
102746,C
102747,C
102748,C
102749,C
102750,C
102751,C
102752,C
102753,C
102754,C
102755,C
102756,C
102757,C
102758,C
102759,C
102760,C
102761,C
102762,C
102763,C
102764,C
102765,C
102766,C
102767,C
102768,C
102769,C
102770,C
102771,C
102772,C
102773,C
102774,C
102775,C
102776,C
102777,C
102778,C
102779,C
102780,C
102781,C
102782,C
102783,C
102784,C
102785,C
102786,C
102787,C
102788,C
102789,C
102790,C
102791,C
102792,C
102793,C
102794,C
102795,C
102796,C
102797,C
102798,C
102799,C
102800,C
102801,C
102802,C
102803,C
102804,C
102805,C
102806,C
102807,C
102808,C
102809,C
102810,C
102811,C
102812,C
102813,C
102814,C
102815,C
102816,C
102817,C
102818,C
102819,C
102820,C
102821,C
102822,C
102823,C
102824,C
102825,C
102826,C
102827,C
102828,C
102829,C
102830,C
102831,C
102832,C
102833,C
102834,C
102835,C
102836,C
102837,C
102838,C
102839,C
102840,C
102841,C
102842,C
102843,C
102844,C
102845,C
102846,C
102847,C
102848,C
102849,C
102850,C
102851,C
102852,C
102853,C
102854,C
102855,C
102856,C
102857,C
102858,C
102859,C
102860,C
102861,C
102862,C
102863,C
102864,C
102865,C
102866,C
102867,C
102868,C
102869,C
102870,C
102871,C
102872,C
102873,C
102874,C
102875,C
102876,C
102877,C
102878,C
102879,C
102880,C
102881,C
102882,C
102883,C
102884,C
102885,C
102886,C
102887,C
102888,C
102889,C
102890,C
102891,C
102892,C
102893,C
102894,C
102895,C
102896,C
102897,C
102898,C
102899,C
102900,C
102901,C
102902,C
102903,C
102904,C
102905,C
102906,C
102907,C
102908,C
102909,C
102910,C
102911,C
102912,C
102913,C
102914,C
102915,C
102916,C
102917,C
102918,C
102919,C
102920,C
102921,C
102922,C
102923,C
102924,C
102925,C
102926,C
102927,C
102928,C
102929,C
102930,C
102931,C
102932,C
102933,C
102934,C
102935,C
102936,C
102937,C
102938,C
102939,C
102940,C
102941,C
102942,C
102943,C
102944,C
102945,C
102946,C
102947,C
102948,C
102949,C
102950,C
102951,C
102952,C
102953,C
102954,C
102955,C
102956,C
102957,C
102958,C
102959,C
102960,C
102961,C
102962,C
102963,C
102964,C
102965,C
102966,C
102967,C
102968,C
102969,C
102970,C
102971,C
102972,C
102973,C
102974,C
102975,C
102976,C
102977,C
102978,C
102979,C
102980,C
102981,C
102982,C
102983,C
102984,C
102985,C
102986,C
102987,C
102988,C
102989,C
102990,C
102991,C
102992,C
102993,C
102994,C
102995,C
102996,C
102997,C
102998,C
102999,C
103000,C
103001,C
103002,C
103003,C
103004,C
103005,C
103006,C
103007,C
103008,C
103009,C
103010,C
103011,C
103012,C
103013,C
103014,C
103015,C
103016,C
103017,C
103018,C
103019,C
103020,C
103021,C
103022,C
103023,C
103024,C
103025,C
103026,C
103027,C
103028,C
103029,C
103030,C
103031,C
103032,C
103033,C
103034,C
103035,C
103036,C
103037,C
103038,C
103039,C
103040,C
103041,C
103042,C
103043,C
103044,C
103045,C
103046,C
103047,C
103048,C
103049,C
103050,C
103051,C
103052,C
103053,C
103054,C
103055,C
103056,C
103057,C
103058,C
103059,C
103060,C
103061,C
103062,C
103063,C
103064,C
103065,C
103066,C
103067,C
103068,C
103069,C
103070,C
103071,C
103072,C
103073,C
103074,C
103075,C
103076,C
103077,C
103078,C
103079,C
103080,C
103081,C
103082,C
103083,C
103084,C
103085,C
103086,C
103087,C
103088,C
103089,C
103090,C
103091,C
103092,C
103093,C
103094,C
103095,C
103096,C
103097,C
103098,C
103099,C
103100,C
103101,C
103102,C
103103,C
103104,C
103105,C
103106,C
103107,C
103108,C
103109,C
103110,C
103111,C
103112,C
103113,C
103114,C
103115,C
103116,C
103117,C
103118,C
103119,C
103120,C
103121,C
103122,C
103123,C
103124,C
103125,C
103126,C
103127,C
103128,C
103129,C
103130,C
103131,C
103132,C
103133,C
103134,C
103135,C
103136,C
103137,C
103138,C
103139,C
103140,C
103141,C
103142,C
103143,C
103144,C
103145,C
103146,C
103147,C
103148,C
103149,C
103150,C
103151,C
103152,C
103153,C
103154,C
103155,C
