id,correctAnswer
102501,D
102502,D
102503,D
102504,D
102505,D
102506,D
102507,D
102508,D
102509,D
102510,D
102511,D
102512,D
102513,D
102514,D
102515,D
102516,D
102517,D
102518,D
102519,D
102520,D
102521,D
102522,D
102523,D
102524,D
102525,D
102526,D
102527,D
102528,D
102529,D
102530,D
102531,D
102532,D
102533,D
102534,D
102535,D
102536,D
102537,D
102538,D
102539,D
102540,D
102541,D
102542,D
102543,D
102544,D
102545,D
102546,D
102547,D
102548,D
102549,D
102550,D
102551,D
102552,D
102553,D
102554,D
102555,D
102556,D
102557,D
102558,D
102559,D
102560,D
102561,D
102562,D
102563,D
102564,D
102565,D
102566,D
102567,D
102568,D
102569,D
102570,D
102571,D
102572,D
102573,D
102574,D
102575,D
102576,D
102577,D
102578,D
102579,D
102580,D
102581,D
102582,D
102583,D
102584,D
102585,D
102586,D
102587,D
102588,D
102589,D
102590,D
102591,D
102592,D
102593,D
102594,D
102595,D
102596,D
102597,D
102598,D
102599,D
102600,D
102601,D
102602,D
102603,D
102604,D
102605,D
102606,D
102607,D
102608,D
102609,D
102610,D
102611,D
102612,D
102613,D
102614,D
102615,D
102616,D
102617,D
102618,D
102619,D
102620,D
102621,D
102622,D
102623,D
102624,D
102625,D
102626,D
102627,D
102628,D
102629,D
102630,D
102631,D
102632,D
102633,D
102634,D
102635,D
102636,D
102637,D
102638,D
102639,D
102640,D
102641,D
102642,D
102643,D
102644,D
102645,D
102646,D
102647,D
102648,D
102649,D
102650,D
102651,D
102652,D
102653,D
102654,D
102655,D
102656,D
102657,D
102658,D
102659,D
102660,D
102661,D
102662,D
102663,D
102664,D
102665,D
102666,D
102667,D
102668,D
102669,D
102670,D
102671,D
102672,D
102673,D
102674,D
102675,D
102676,D
102677,D
102678,D
102679,D
102680,D
102681,D
102682,D
102683,D
102684,D
102685,D
102686,D
102687,D
102688,D
102689,D
102690,D
102691,D
102692,D
102693,D
102694,D
102695,D
102696,D
102697,D
102698,D
102699,D
102700,D
102701,D
102702,D
102703,D
102704,D
102705,D
102706,D
102707,D
102708,D
102709,D
102710,D
102711,D
102712,D
102713,D
102714,D
102715,D
102716,D
102717,D
102718,D
102719,D
102720,D
102721,D
102722,D
102723,D
102724,D
102725,D
102726,D
102727,D
102728,D
102729,D
102730,D
102731,D
102732,D
102733,D
102734,D
102735,D
102736,D
102737,D
102738,D
102739,D
102740,D
102741,D
102742,D
102743,D
102744,D
102745,D
102746,D
102747,D
102748,D
102749,D
102750,D
102751,D
102752,D
102753,D
102754,D
102755,D
102756,D
102757,D
102758,D
102759,D
102760,D
102761,D
102762,D
